sample,DF1,DF2,TDF2,CASCADE
331,0.0001866817,0.1570887566,0.0001866817,0.0001326799
332,0.0001047254,0.1570886374,0.0001047254,0.0000502467
333,0.0000208616,0.1570886970,0.0000208616,-0.0000334978
334,-0.0000591874,0.1570886374,-0.0000591874,-0.0001127720
335,-0.0001301169,0.1570886970,-0.0001301169,-0.0001822710
336,-0.0001873970,0.1570886374,-0.0001873970,-0.0002375841
337,-0.0002275109,0.1570886970,-0.0002275109,-0.0002752542
338,-0.0002481937,0.1570886970,-0.0002481937,-0.0002933145
339,-0.0002486110,0.1570886970,-0.0002486110,-0.0002909899
340,-0.0002293587,0.1570886970,-0.0002293587,-0.0002688766
341,-0.0001922846,0.1570886970,-0.0001922846,-0.0002291203
342,-0.0001403689,0.1570886970,-0.0001403689,-0.0001748800
343,-0.0000774860,0.1570886970,-0.0000774860,-0.0001101494
344,-0.0000081658,0.1570886970,-0.0000081658,-0.0000396967
345,0.0000627041,0.1570886970,0.0000627041,0.0000315905
346,0.0001302361,0.1570886374,0.0001302361,0.0000988841
347,0.0001899004,0.1570886970,0.0001899004,0.0001576543
348,0.0002378821,0.1570886374,0.0002378821,0.0002042055
349,0.0002712607,0.1570886374,0.0002712607,0.0002356172
350,0.0002881885,0.1570886970,0.0002881885,0.0002502203
351,0.0002880096,0.1570886374,0.0002880096,0.0002474785
352,0.0002713203,0.1570886970,0.0002713203,0.0002279282
353,0.0002397895,0.1570886374,0.0002397895,0.0001934767
354,0.0001959801,0.1570886374,0.0001959801,0.0001468062
355,0.0001432300,0.1570886374,0.0001432300,0.0000913143
356,0.0000854135,0.1570886374,0.0000854135,0.0000311136
357,0.0000267029,0.1570886374,0.0000267029,-0.0000296235
358,-0.0000288486,0.1570886374,-0.0000288486,-0.0000867248
359,-0.0000774860,0.1570886374,-0.0000774860,-0.0001364350
360,-0.0001160502,0.1570886374,-0.0001160502,-0.0001755953
361,-0.0001421571,0.1570886374,-0.0001421571,-0.0002017617
362,-0.0001543164,0.1570886374,-0.0001543164,-0.0002135634
363,-0.0001520514,0.1570886374,-0.0001520514,-0.0002105832
364,-0.0001358390,0.1570886374,-0.0001358390,-0.0001932979
365,-0.0001071095,0.1570886374,-0.0001071095,-0.0001634955
366,-0.0000680685,0.1570886374,-0.0000680685,-0.0001232028
367,-0.0000216365,0.1570886374,-0.0000216365,-0.0000757575
368,0.0000287890,0.1570886374,0.0000287890,-0.0000243187
369,0.0000796318,0.1570886374,0.0000796318,0.0000274181
370,0.0001273751,0.1570886374,0.0001273751,0.0000758767
371,0.0001688600,0.1570886374,0.0001688600,0.0001179576
372,0.0002014041,0.1570886374,0.0002014041,0.0001508594
373,0.0002230406,0.1570886374,0.0002230406,0.0001726151
374,0.0002326369,0.1570886374,0.0002326369,0.0001821518
375,0.0002298355,0.1570886374,0.0002298355,0.0001790524
376,0.0002150536,0.1570886374,0.0002150536,0.0001638532
377,0.0001895428,0.1570886374,0.0001895428,0.0001379848
378,0.0001551509,0.1570886374,0.0001551509,0.0001033545
379,0.0001143813,0.1570886374,0.0001143813,0.0000626445
380,0.0000700951,0.1570886374,0.0000700951,0.0000187159
381,0.0000253320,0.1570886374,0.0000253320,-0.0000252724
382,-0.0000168681,0.1570886374,-0.0000168681,-0.0000663996
383,-0.0000537038,0.1570886374,-0.0000537038,-0.0001019835
384,-0.0000827909,0.1570886374,-0.0000827909,-0.0001296401
385,-0.0001023412,0.1570886374,-0.0001023412,-0.0001477599
386,-0.0001112819,0.1570886374,-0.0001112819,-0.0001554489
387,-0.0001093149,0.1570886374,-0.0001093149,-0.0001523495
388,-0.0000969172,0.1570886374,-0.0000969172,-0.0001389384
389,-0.0000752211,0.1570886374,-0.0000752211,-0.0001164675
